waktu,Fakultas,prodi,device,Gedung,lokasiakses,waktubermasalah,deskripsipengalaman,keluhanutama,yangdisukai,pesan,Tingkatkepuasan
2026/01/12 12:33:02 AM GMT+7,Ilkom,Sistem informasi,Laptop,Gedung C,Ruang Kelas;Kantin;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),bagus,sinyalnya jelek,gaada,kerja yang betul,Sangat mengecewakan
2026/01/12 12:33:37 AM GMT+7,Teknik,,Laptop,Gedung H,Perpustakaan;Kantin,Sore (14.00 - 17.00),Lelet,Ada beberpa tempat gitu wifinya ga bisa di akses,Gaada,Kalo bisa disetiap gedung bisa diakses,Sangat mengecewakan
2026/01/12 12:34:01 AM GMT+7,Filkom,SISTEM INFORMASI,Laptop,Gedung D,Ruang Kelas;Taman kampus;Lab Komputer,Siang (11.00 - 14.00),lemot,sinyalnya ga bagus,gratis,tolong diperbaiki,Tidak Puas
2026/01/12 12:37:42 AM GMT+7,FKIP ,PGSD ,Smartphone,Gedung F,Ruang Kelas;Kantin;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),lelet,lelet sinyalnya,gaada,gaada,Netral
2026/01/12 12:39:58 AM GMT+7,FILKOM,sistem Informasi ,Laptop,Gedung C,Ruang Kelas;Lab Komputer,Siang (11.00 - 14.00),lemot,kurang kuat sinyalnya,gratis,perbaiki,Puas
2026/01/12 12:40:57 AM GMT+7,Ilkom,Sistem Informasi,Smartphone,Gedung C,Ruang Kelas,Siang (11.00 - 14.00),emosi,lambat banget,gaada,perbaiki,Tidak Puas
2026/01/12 12:43:16 AM GMT+7,Psikologi,Psikologi,Smartphone,Gedung C,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),lambat,lelet,gratis,gaada,Netral
2026/01/12 12:45:51 AM GMT+7,Ilkom,Informatika,Laptop,Gedung C,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),lambat,sinyalnya,gratis,"gaada, semangat kerja",Netral
2026/01/12 12:49:33 AM GMT+7,Filkom,Sistem Informasi,Laptop,Gedung C,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),lambat,lemot,gratis,.,Puas
2026/01/12 12:52:51 AM GMT+7,Ilkom,Sistem Informasi,Laptop,Gedung C,Ruang Kelas;Taman kampus,Sore (14.00 - 17.00),lambat,lemot,gratis,tidak ada,Sangat mengecewakan
2026/01/12 12:56:56 AM GMT+7,Psikologi,Psikologi,Laptop,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),emosi,jaringannya lemot parah,gaada,gaada,Tidak Puas
2026/01/12 12:58:15 AM GMT+7,Ilkom,Sistem Informasi,Laptop,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),lemottt,lemot jaringannya,jelek,jaringannya diperbagus,Sangat mengecewakan
2026/01/12 12:59:57 AM GMT+7,FKIP,PGSD,Smartphone,Gedung H,Perpustakaan,Sore (14.00 - 17.00),bikin emosi,kekuatan sinyalnya,tidak ada,bagusin dong sinyalnya,Tidak Puas
2026/01/12 1:01:48 AM GMT+7,,,,Gedung C,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),mantap bikin emosi,jelek,gaada,perbaiki,Tidak Puas
2026/01/12 1:02:52 AM GMT+7,Ilkom,Sistem Informasi,Laptop,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),lambat,sinyal lemot,gaada,tidak ada,Netral
2026/01/12 1:04:05 AM GMT+7,PSIKOLOGI,PSIKOLOGI,Laptop,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),biasa,kurang bagus sinyalnya ,gratis,gaada,Sangat mengecewakan
2026/01/12 1:04:55 AM GMT+7,,,,Gedung C,Ruang Kelas;Kantin;Taman kampus,Sore (14.00 - 17.00),lambat,kurang kencang,coverage luas,perbaiki sinyal ,Netral
2026/01/12 1:05:59 AM GMT+7,,,,Gedung D,Ruang Kelas;Kantin;Taman kampus,Sore (14.00 - 17.00),lemot,lemot,gratis,perbaiki,Sangat mengecewakan
2026/01/12 1:06:55 AM GMT+7,Ilkom,,Laptop,Gedung C,Ruang Kelas;Kantin;Taman kampus,Siang (11.00 - 14.00),lemot,lemot,gratis,tidak ada,Tidak Puas
2026/01/12 1:07:48 AM GMT+7,,,,Gedung D,Ruang Kelas,Siang (11.00 - 14.00),lambat,jelek jaringannya,gaada,gaada,Tidak Puas
2026/01/12 1:08:28 AM GMT+7,,,,Gedung G,Ruang Kelas;Kantin;Taman kampus,Siang (11.00 - 14.00),lambat,lemot,gratis,gaada,Tidak Puas
2026/01/12 1:08:59 AM GMT+7,,,,Gedung D,Ruang Kelas;Kantin,Siang (11.00 - 14.00),lemot,susah sinyal,,perbaiki,Netral
2026/01/12 1:09:50 AM GMT+7,,,,Gedung G,Ruang Kelas,Sore (14.00 - 17.00),lambat,jelek sinyalnya,,gaada,Tidak Puas
2026/01/12 1:10:25 AM GMT+7,,,,Gedung D,Ruang Kelas,Sore (14.00 - 17.00),lambat sekali,jaringannya lambat,gratis,tidak ada,Puas
2026/01/12 1:11:00 AM GMT+7,,,,Gedung A,Perpustakaan;Ruang Kelas,Sore (14.00 - 17.00),Jelek,Lemot banget,,gaada,Sangat mengecewakan
